Time,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,Amount,Class
69.0,0.299,2.143,-1.542,1.561,0.938,-2.146,1.406,-0.778,0.329,0.127,1.613,-0.096,0.655,-4.318,1.039,0.405,2.729,1.116,-0.704,0.677,-0.291,-0.0,0.092,0.586,-0.397,-0.481,0.251,-0.242,0.78,0
69.0,-0.608,0.307,1.473,1.191,0.021,0.888,1.19,0.042,-0.446,-0.08,0.66,-0.112,-1.469,0.285,-0.237,-0.913,0.243,0.123,1.175,0.374,0.047,0.165,0.064,-0.334,0.132,-0.218,-0.082,-0.117,168.56,0
69.0,-1.767,2.353,-0.01,-0.364,1.461,-0.205,0.906,-3.384,0.389,0.791,-0.27,0.047,1.643,-2.678,0.728,0.289,0.384,0.455,0.114,0.073,1.964,-0.883,-0.248,-0.759,0.086,0.203,-0.899,-0.944,0.76,0
69.0,-2.221,1.029,-0.698,-1.268,2.802,3.323,0.197,-0.521,0.86,1.594,0.311,-0.434,-0.087,-1.108,1.309,0.521,-0.736,0.165,0.315,-0.112,0.11,-1.178,0.509,0.923,0.214,0.034,-0.142,-0.264,9.47,0
70.0,-0.426,-0.06,2.221,0.025,-0.585,0.461,-0.323,0.435,1.252,-1.012,-1.379,0.203,-0.856,-0.926,-1.574,-0.493,0.329,-0.618,-0.708,-0.2,0.149,0.77,-0.093,0.151,-0.234,0.505,0.069,0.041,21.8,0
71.0,1.332,-0.58,0.423,-0.898,-0.746,-0.056,-0.75,0.128,-0.965,0.736,1.391,-0.008,-0.129,0.094,0.389,1.237,0.152,-1.399,0.673,0.052,-0.039,-0.255,0.109,-0.328,0.162,-0.447,0.02,0.006,14.48,0
73.0,1.162,1.248,-1.581,1.475,1.138,-1.02,0.638,-0.137,-0.806,-1.444,2.847,0.628,0.388,-3.279,0.553,0.911,2.698,1.303,-0.91,-0.017,-0.124,-0.227,-0.199,-0.29,0.776,-0.284,0.057,0.085,1.0,0
73.0,1.239,0.293,0.086,1.178,0.373,0.326,0.119,-0.025,0.173,-0.154,-1.089,0.871,1.178,-0.218,-0.161,-0.534,-0.108,-0.848,-0.057,-0.104,-0.148,-0.112,-0.173,-0.715,0.817,-0.264,0.048,0.009,1.0,0
73.0,0.926,-0.358,1.377,1.901,-1.058,0.302,-0.462,0.25,1.254,-0.436,-0.681,1.0,-0.653,-0.636,-1.703,-1.28,0.988,-1.479,-0.044,-0.124,-0.348,-0.677,0.101,0.596,0.322,-0.547,0.079,0.044,70.6,0
73.0,1.148,0.086,0.121,1.127,0.215,0.537,-0.05,0.186,0.112,0.047,0.508,0.87,-0.323,0.269,-0.717,-0.314,-0.224,-0.228,0.179,-0.148,-0.091,-0.095,-0.167,-0.653,0.713,-0.288,0.032,0.0,19.77,0
74.0,1.038,0.127,0.184,1.11,0.442,0.945,-0.037,0.351,0.119,-0.243,0.578,0.675,-0.534,0.447,1.123,-1.768,1.241,-2.449,-1.747,-0.336,0.103,0.605,0.023,-0.626,0.479,-0.167,0.081,0.001,1.18,0
74.0,1.038,0.127,0.184,1.11,0.442,0.945,-0.037,0.351,0.119,-0.243,0.578,0.675,-0.534,0.447,1.123,-1.768,1.241,-2.449,-1.747,-0.336,0.103,0.605,0.023,-0.626,0.479,-0.167,0.081,0.001,1.18,0
74.0,1.038,0.127,0.184,1.11,0.442,0.945,-0.037,0.351,0.119,-0.243,0.578,0.675,-0.534,0.447,1.123,-1.768,1.241,-2.449,-1.747,-0.336,0.103,0.605,0.023,-0.626,0.479,-0.167,0.081,0.001,1.18,0
74.0,1.038,0.127,0.184,1.11,0.442,0.945,-0.037,0.351,0.119,-0.243,0.578,0.675,-0.534,0.447,1.123,-1.768,1.241,-2.449,-1.747,-0.336,0.103,0.605,0.023,-0.626,0.479,-0.167,0.081,0.001,1.18,0
75.0,-1.439,0.268,3.563,3.481,-1.16,1.765,-0.559,0.442,0.348,0.393,-0.972,0.516,0.497,-1.484,-0.867,-1.02,1.063,-0.359,0.881,-0.173,0.129,1.129,-0.007,0.497,0.131,0.526,-0.089,0.113,81.13,0
76.0,-1.025,0.522,1.788,0.203,-1.141,-0.138,-0.337,0.671,0.072,-0.519,0.687,0.249,-1.249,0.343,-0.236,0.529,-0.291,0.848,0.129,-0.279,0.316,0.848,0.149,0.55,-0.585,0.326,-0.069,0.06,50.0,0
76.0,-0.997,0.228,1.715,-0.42,0.561,0.565,0.846,0.197,-0.097,-0.439,1.309,0.86,-0.476,-0.142,-0.975,-0.607,0.005,-1.0,-0.774,0.244,-0.07,0.015,0.073,-0.272,-0.088,0.138,0.126,-0.063,86.43,0
77.0,-1.166,1.485,0.156,0.924,0.132,0.997,-0.167,1.263,-0.585,-0.553,0.138,0.691,-0.421,0.979,1.098,-1.913,1.781,-2.12,-1.023,-0.321,0.315,1.047,0.156,-0.628,-0.702,-0.224,0.145,0.116,11.83,0
77.0,-1.186,-0.219,1.101,-1.407,1.262,-0.338,1.192,-0.427,0.277,-0.215,-0.943,-0.474,0.062,-0.41,0.754,0.283,-0.906,-0.738,-0.454,0.037,-0.363,-0.419,0.521,-0.922,-0.14,0.71,-0.076,-0.384,49.95,0
77.0,-0.427,0.746,1.762,-0.165,0.058,-0.213,0.647,0.073,-0.292,0.065,1.527,-0.132,-1.697,0.482,0.586,0.035,-0.306,-0.206,-0.119,0.053,-0.202,-0.432,0.013,0.162,-0.401,0.047,0.103,-0.117,9.12,0
78.0,-0.622,0.015,1.052,-1.645,-0.538,-0.836,0.517,-1.106,-1.312,0.577,0.895,-0.686,-1.86,0.511,-0.452,-1.146,-0.324,1.462,-0.986,-0.757,0.419,-0.762,-0.099,0.503,-0.655,0.743,-0.021,-0.118,104.94,0
78.0,-0.291,1.516,1.514,2.518,0.584,0.426,0.599,0.057,-1.476,0.829,-1.269,-0.428,0.946,0.079,1.288,0.283,-0.424,0.147,1.226,0.348,-0.253,-0.613,-0.126,-0.637,-0.256,0.02,0.383,0.194,4.68,0
78.0,-1.76,0.222,0.58,-1.413,0.805,-0.353,0.87,-0.031,0.318,-0.118,-1.054,-0.297,0.131,-0.17,0.749,0.411,-0.75,-0.746,-0.488,-0.105,-0.404,-0.478,0.261,-0.903,-0.131,0.714,-0.028,-0.411,62.92,0
78.0,-0.591,0.235,2.355,-2.22,-0.247,-0.833,0.934,-0.67,1.093,-0.534,1.72,0.117,-1.289,-0.189,1.193,-0.519,-0.6,0.67,1.088,0.134,0.006,0.431,-0.442,0.556,0.166,-0.055,-0.715,-0.612,18.31,0
79.0,-2.374,0.597,0.037,-1.407,0.3,-0.341,0.625,0.37,0.344,-0.046,-1.168,-0.129,0.205,0.072,0.741,0.539,-0.596,-0.736,-0.524,-0.171,-0.423,-0.527,0.163,-0.894,-0.087,0.718,-0.011,-0.432,80.0,0
80.0,-0.655,0.41,1.289,-0.325,0.546,-0.35,0.648,0.036,0.079,-0.829,-1.782,-0.413,-0.626,-0.113,-0.715,0.121,-0.474,-0.241,0.041,-0.035,-0.156,-0.477,-0.127,-0.444,-0.012,0.143,0.05,0.118,32.51,0
80.0,-3.008,0.93,-0.424,-1.393,0.082,-0.516,0.105,0.825,0.385,0.064,-1.293,0.062,0.271,0.328,0.724,0.638,-0.43,-0.724,-0.563,-0.152,-0.409,-0.589,0.068,-0.891,-0.048,0.718,-0.054,-0.424,39.95,0
81.0,1.111,0.215,0.374,1.15,-0.33,-0.899,0.31,-0.255,-0.111,-0.058,-0.218,0.601,0.686,0.262,0.923,0.135,-0.49,-0.393,-0.315,0.032,-0.133,-0.494,-0.011,0.38,0.456,-0.572,0.011,0.039,68.74,0
82.0,-3.592,1.348,-0.998,-1.402,-0.597,-0.385,0.051,1.211,0.39,0.101,-1.407,0.207,0.346,0.56,0.713,0.775,-0.286,-0.702,-0.596,-0.212,-0.432,-0.607,0.176,-0.892,0.045,0.728,-0.033,-0.456,79.0,0
82.0,-0.888,0.914,1.146,0.656,0.677,-0.326,0.889,-0.342,-0.524,0.69,1.161,0.832,0.865,-0.018,0.329,-0.181,-0.749,0.553,0.853,0.143,0.108,0.662,-0.005,0.031,-0.141,-0.374,-0.158,0.077,5.9,0
83.0,-1.865,0.911,1.725,-1.748,0.579,-0.833,1.901,-1.914,2.112,3.014,2.024,-0.482,-1.391,-1.6,0.16,-0.057,-1.594,-0.213,-0.449,0.275,-0.319,0.073,-0.062,0.547,-0.467,0.408,-2.378,-1.256,7.69,0
83.0,-0.833,0.779,2.619,2.613,-0.517,0.558,0.317,0.207,-0.739,0.214,-0.295,0.101,0.091,-0.43,0.027,-0.335,0.379,-0.542,-0.596,-0.011,0.189,0.679,-0.133,0.636,0.309,0.272,-0.078,0.007,79.91,0
83.0,-1.897,0.956,0.053,1.277,-3.323,3.23,1.03,1.516,-0.06,-1.461,-0.247,0.922,-0.197,0.506,0.705,-1.329,1.915,-1.935,-0.93,-0.833,0.128,0.776,0.478,-0.609,-1.121,-0.414,0.061,-0.188,552.18,0
84.0,1.119,-0.67,0.804,-0.652,-1.396,-0.801,-0.602,0.014,2.02,-1.068,-0.673,0.116,-1.125,0.056,1.415,-0.396,-0.091,0.504,0.46,-0.06,0.164,0.547,-0.177,0.403,0.563,-0.534,0.075,0.042,67.3,0
84.0,-0.792,-0.841,2.61,-2.196,-0.397,-0.707,-0.058,-0.549,-1.87,1.031,-0.561,-0.279,1.709,-1.606,-1.105,-0.849,0.372,-0.586,-0.232,-0.046,-0.525,-0.776,-0.133,0.377,0.222,-0.574,-0.419,-0.278,21.97,0
84.0,-0.481,1.003,0.906,-0.424,0.761,0.378,0.587,0.134,-0.208,-0.24,-1.453,-0.527,0.074,0.087,1.231,0.311,-0.62,-0.329,0.188,0.082,-0.278,-0.753,-0.146,-1.354,-0.096,0.176,0.144,0.1,4.99,0
85.0,1.328,-0.735,1.502,-0.544,-1.909,-0.712,-1.293,-0.003,-0.246,0.573,0.009,-0.337,0.676,-0.672,1.254,1.592,0.05,-0.785,-0.024,0.112,0.461,1.309,-0.046,0.764,0.282,-0.064,0.06,0.037,11.99,0
85.0,-4.258,1.649,-1.591,-1.374,-1.18,-0.331,-0.118,1.592,0.416,0.159,-1.516,0.374,0.427,0.804,0.713,0.916,-0.134,-0.693,-0.64,-0.272,-0.453,-0.672,0.001,-0.876,0.07,0.73,-0.003,-0.481,124.67,0
87.0,-5.102,1.897,-3.458,-1.278,-5.518,2.098,3.33,1.251,0.272,-0.305,-1.473,0.273,0.649,0.9,0.875,1.472,-0.145,-0.726,-0.699,-1.27,-0.872,-0.679,-0.556,-0.762,0.067,0.767,0.732,-0.86,919.6,0
88.0,1.287,-0.825,1.346,-0.526,-1.833,-0.478,-1.224,0.015,-0.258,0.602,-0.542,0.005,0.865,-0.469,1.456,-0.636,-0.371,1.586,-1.18,-0.379,-0.148,0.058,0.052,0.429,-0.037,1.112,-0.004,0.032,30.9,0
89.0,0.271,-1.615,1.055,1.662,-1.738,0.066,-0.314,0.089,1.07,-0.349,-0.854,-0.018,-0.478,-0.19,0.962,0.557,-0.459,0.644,-0.707,0.755,0.475,0.496,-0.482,0.419,0.236,-0.265,-0.001,0.12,459.39,0
89.0,-0.59,0.933,-0.268,0.125,2.397,3.878,0.19,0.96,-0.23,0.295,-0.597,-0.118,-0.212,0.063,0.18,-0.608,-0.159,0.203,1.425,0.401,-0.154,-0.175,-0.201,1.013,0.194,-0.232,0.541,0.255,37.13,0
91.0,1.276,0.211,0.143,0.37,0.155,-0.032,-0.003,-0.039,0.031,-0.122,-0.668,0.417,0.891,0.128,1.296,0.234,-0.475,-0.773,-0.164,-0.069,-0.28,-0.748,0.057,-0.759,0.272,0.175,-0.011,0.008,1.98,0
91.0,-1.822,1.235,-0.308,-1.822,2.762,3.641,-0.345,-1.548,-0.138,-0.467,-0.466,0.019,-0.311,0.279,-0.047,1.121,-1.458,0.108,-1.497,-0.854,2.081,-1.592,0.322,0.889,0.156,-0.961,-0.035,0.182,15.89,0
92.0,-5.286,4.847,-1.29,-1.428,-0.622,-0.605,0.438,0.336,3.558,6.428,1.401,0.667,0.315,-1.861,0.559,0.315,-0.701,0.206,-0.208,2.962,-0.924,-1.171,0.151,-0.493,1.051,0.195,2.491,1.575,8.95,0
92.0,0.607,-0.957,0.762,1.59,-1.177,0.011,-0.167,0.153,0.743,-0.151,0.721,0.71,-1.329,0.131,-1.122,-0.175,-0.06,0.336,0.154,0.305,0.166,0.101,-0.317,0.544,0.484,-0.33,-0.002,0.062,268.78,0
92.0,-0.238,0.509,1.952,0.779,-0.379,0.251,-0.072,0.229,0.211,-0.374,-0.716,-0.047,-0.334,-0.246,0.628,-0.782,0.536,-0.283,0.682,0.005,0.217,0.904,-0.121,0.141,-0.614,0.576,0.194,0.165,2.99,0
93.0,-0.854,0.127,1.267,0.679,-1.03,-0.488,1.836,-0.299,-0.922,-0.646,-0.026,0.029,0.407,0.23,1.128,-0.257,0.008,-0.117,0.426,0.776,0.252,0.18,0.477,0.725,0.527,0.503,-0.159,0.003,322.44,0
93.0,-1.64,-0.48,1.614,2.998,-3.804,5.052,3.315,-0.304,0.671,0.744,-1.223,-0.647,-0.374,-1.724,-1.325,0.325,-0.486,1.396,2.157,0.124,-0.368,0.642,-0.406,-1.269,0.494,0.611,0.609,-0.41,937.69,0
95.0,1.057,-0.647,0.729,-0.569,-1.174,-0.528,-0.472,0.052,1.904,-1.177,-0.164,0.761,-0.609,-0.052,1.006,-1.168,0.489,-0.343,0.176,-0.07,0.186,0.743,-0.164,0.454,0.615,-0.509,0.09,0.038,69.0,0
95.0,-0.344,1.119,1.293,0.065,0.023,-0.993,0.696,-0.065,-0.374,-0.506,-0.234,-0.151,-0.019,-0.402,0.909,0.388,0.017,-0.122,-0.09,0.104,-0.265,-0.701,-0.014,0.331,-0.165,0.072,0.245,0.098,2.28,0
95.0,1.316,-0.106,-0.246,-1.186,-0.12,-0.613,0.007,-0.137,0.848,-0.785,0.876,1.28,0.569,0.443,0.941,-0.193,-0.789,0.782,1.083,-0.042,0.093,0.405,-0.283,-0.457,0.895,-0.562,0.045,0.003,7.21,0
95.0,1.196,0.259,0.636,0.641,-0.395,-0.695,0.034,-0.124,-0.078,-0.129,0.407,0.904,0.881,0.159,1.189,-0.115,-0.063,-1.177,-0.605,-0.095,-0.201,-0.517,0.199,0.413,0.123,0.102,-0.008,0.02,1.29,0
97.0,1.274,0.058,-1.312,-0.049,2.244,3.296,-0.343,0.761,-0.155,0.068,-0.162,0.029,-0.021,0.528,1.106,0.376,-0.927,0.293,-0.003,0.009,-0.017,-0.183,-0.147,1.005,0.843,-0.314,0.014,0.016,17.8,0
98.0,-0.647,1.004,1.616,-0.1,-0.122,-0.671,0.656,0.01,-0.636,-0.047,1.531,0.824,0.148,0.267,0.12,0.319,-0.593,0.044,0.232,0.093,-0.148,-0.42,0.061,0.521,-0.239,0.03,0.14,0.101,14.98,0
98.0,1.027,-1.273,0.674,-0.747,-1.299,0.294,-1.054,0.235,-0.575,0.681,1.218,-0.248,-0.243,-0.104,0.767,1.523,-0.001,-0.604,0.234,0.346,0.522,1.102,-0.249,-0.259,0.296,-0.031,0.018,0.033,159.0,0
99.0,-0.884,-0.151,2.292,-0.263,-0.815,0.956,0.098,0.474,0.14,-0.73,0.711,0.095,-1.098,-0.06,0.235,-0.142,0.193,0.218,1.156,0.359,0.071,0.052,0.11,-0.261,-0.098,1.155,-0.021,0.063,142.71,0
99.0,1.081,-0.257,0.427,0.918,-0.746,-0.721,-0.002,-0.087,0.643,-0.193,-0.872,-0.181,-1.265,0.195,-0.066,-0.215,0.106,-0.547,0.201,-0.042,-0.199,-0.627,-0.041,0.387,0.383,0.265,-0.045,0.024,84.39,0
100.0,-0.379,0.275,-0.129,-2.683,-0.731,-0.226,-0.007,-2.779,-0.233,-0.589,-1.308,0.065,0.083,0.465,0.848,-1.55,-0.32,1.087,-0.444,-1.134,1.426,-2.777,-0.467,-0.715,1.137,-0.982,0.357,0.148,182.95,0
103.0,-1.409,0.563,3.351,-0.437,-1.123,0.256,-0.253,-0.796,1.422,-0.682,-0.681,1.398,1.115,-1.895,-2.189,-0.64,0.335,-0.836,-0.071,-0.029,0.666,0.17,-0.232,1.067,0.28,0.988,-0.106,-0.074,23.27,0
103.0,-0.941,1.074,1.759,-0.601,0.102,-0.189,0.456,-3.461,0.442,0.918,0.877,0.338,0.646,-0.829,1.465,-0.915,0.172,-1.054,0.277,-0.209,2.27,-0.144,0.154,0.701,-0.413,1.374,-0.996,-0.836,9.99,0
103.0,1.246,0.439,0.316,1.108,-0.178,-0.941,0.286,-0.29,-0.169,-0.014,-0.226,0.721,1.003,0.189,0.81,0.003,-0.485,-0.274,-0.376,-0.08,0.039,0.208,-0.111,0.42,0.722,-0.331,0.02,0.022,4.19,0
103.0,-6.093,-12.114,-5.695,3.294,-1.414,4.776,4.808,-0.228,-0.526,-1.725,-0.363,0.286,0.488,1.26,0.66,0.455,-0.498,0.792,-0.978,7.744,2.229,-2.264,-3.553,1.215,-0.406,-0.653,-0.711,0.673,3828.04,0
105.0,1.0,-0.295,1.308,1.258,-0.968,0.46,-0.782,0.424,0.791,-0.055,1.109,0.693,-1.289,0.12,-0.151,-0.018,-0.078,0.069,-0.357,-0.183,0.033,0.18,0.029,0.203,0.235,-0.408,0.073,0.029,35.97,0
105.0,1.175,0.408,0.552,1.255,-0.197,-0.566,0.134,-0.146,-0.214,-0.011,0.291,0.976,1.118,0.145,1.038,-0.293,-0.142,-0.767,-0.963,-0.116,0.131,0.524,-0.05,0.448,0.598,-0.275,0.043,0.024,1.0,0
106.0,-0.306,0.991,1.414,0.855,0.334,-0.728,1.059,-0.47,-0.535,0.083,-0.326,0.105,0.617,-0.021,0.99,-0.442,-0.337,0.003,0.438,0.09,0.128,0.58,-0.202,0.416,-0.272,-0.378,-0.114,-0.052,24.57,0
107.0,1.175,0.661,-0.477,1.103,0.543,-0.247,0.165,0.027,-0.423,-0.574,1.853,0.871,0.497,-1.251,0.599,0.568,0.768,0.672,-0.575,-0.069,-0.003,0.094,-0.154,-0.425,0.652,-0.297,0.051,0.042,1.0,0
108.0,-0.817,0.548,1.987,2.348,0.037,1.51,0.693,0.509,-1.254,0.174,1.104,0.31,-0.838,0.214,-0.528,-0.422,0.395,-0.714,-0.217,0.234,-0.047,-0.324,0.232,-0.335,0.162,0.015,-0.029,-0.015,148.43,0
108.0,1.206,-0.125,0.119,0.024,-0.549,-0.95,0.071,-0.126,0.137,-0.071,1.291,0.732,-0.841,0.503,-0.497,-0.165,-0.064,-0.248,0.578,-0.084,-0.018,-0.018,-0.085,0.628,0.456,1.092,-0.108,-0.014,25.8,0
110.0,-1.277,-0.904,1.477,-2.583,0.636,-0.867,1.138,-0.925,-0.222,0.097,0.983,0.737,0.521,-0.626,-0.564,-2.445,-0.534,1.577,0.101,-0.431,-0.482,-0.183,-0.614,0.038,0.793,-0.725,-0.616,-0.486,110.4,0
110.0,-0.592,0.111,0.699,-1.536,1.193,0.649,0.797,0.017,0.79,-1.246,0.555,1.089,0.362,-0.022,1.434,-2.627,1.177,-2.158,-0.567,-0.176,0.206,1.216,0.093,-0.9,-0.424,-0.608,0.018,-0.077,13.95,0
111.0,-0.821,1.023,1.997,1.18,0.232,-0.124,0.684,-0.008,-0.572,-0.405,-0.212,0.552,0.373,-0.12,0.061,-1.24,0.648,-0.904,0.405,0.005,0.0,0.183,-0.3,0.432,0.457,-0.213,-0.033,0.088,9.99,0
112.0,-4.816,-3.345,0.566,3.961,-2.495,3.691,1.603,-0.072,1.092,1.146,-1.23,-0.187,-0.064,-1.419,-1.006,0.718,-0.333,1.209,2.246,-1.133,-0.797,0.26,-2.712,-1.02,0.071,0.619,1.721,-1.649,937.69,0
112.0,1.103,0.104,0.934,1.153,-0.694,-0.585,-0.148,-0.112,0.197,-0.095,-0.217,0.752,1.088,-0.068,1.196,0.453,-0.667,-0.06,-0.517,0.037,-0.017,-0.099,0.003,0.394,0.334,-0.521,0.046,0.048,54.99,0
113.0,1.148,0.543,0.505,2.518,-0.124,-0.611,0.273,-0.173,-0.81,0.692,-0.548,-0.1,0.055,0.334,0.437,0.593,-0.594,-0.289,-1.014,-0.098,0.026,-0.008,-0.082,0.379,0.558,0.034,-0.022,0.024,31.17,0
114.0,1.194,-0.073,0.635,0.769,-0.736,-0.673,-0.146,-0.066,0.646,-0.212,-0.758,0.132,-0.692,0.014,-0.053,-0.144,0.048,-0.662,0.255,-0.12,-0.301,-0.771,0.074,0.398,0.286,0.287,-0.031,0.017,23.88,0
114.0,-0.284,1.069,0.931,-0.129,0.388,-0.514,0.664,0.009,-0.261,-0.496,-1.049,-0.628,-0.245,-0.378,1.011,0.651,-0.268,0.198,0.228,0.111,-0.324,-0.886,-0.11,-0.521,-0.065,0.126,0.241,0.089,4.49,0
115.0,-0.183,-0.921,1.819,-2.451,-1.248,0.147,0.219,-0.407,-2.024,1.411,1.672,-0.103,1.082,-1.044,-0.319,-0.256,-0.105,0.221,-1.24,-0.243,0.031,0.849,0.12,0.219,-0.442,-0.387,-0.292,-0.448,137.0,0
117.0,0.806,-0.22,2.371,4.076,-0.844,2.546,-1.435,0.942,0.33,0.832,0.313,1.018,-0.44,-1.001,-2.431,0.099,0.261,-0.497,-1.519,-0.198,0.186,0.917,-0.076,-0.243,0.246,0.284,0.114,0.032,37.89,0
117.0,-1.01,-0.54,2.519,-2.27,-0.157,0.169,0.538,-0.379,-0.166,-0.226,-1.509,-0.471,0.939,-1.842,-1.8,1.333,-0.495,-1.464,-0.25,0.132,-0.104,0.154,-0.235,-0.425,0.679,-0.497,-0.365,-0.417,82.29,0
118.0,1.255,0.35,0.302,0.693,-0.371,-1.07,0.087,-0.203,0.035,-0.283,-0.074,0.225,0.211,-0.284,1.096,0.481,-0.006,-0.295,-0.197,-0.08,-0.288,-0.833,0.128,0.339,0.216,0.095,-0.023,0.031,2.69,0
118.0,1.431,-0.648,-0.332,-1.207,-0.013,0.704,-0.732,0.183,-0.878,0.768,0.057,-0.591,0.005,0.048,0.442,1.531,-0.325,-0.724,1.1,0.101,0.113,0.222,-0.245,-1.688,0.61,-0.088,0.01,-0.014,20.0,0
121.0,-0.869,0.685,2.014,0.126,-0.493,-0.32,0.374,-0.081,0.9,0.194,-0.996,-0.566,-1.135,-0.554,0.016,-0.206,-0.163,0.078,0.078,0.177,0.027,0.574,-0.252,0.432,-0.138,0.423,0.181,0.044,29.99,0
123.0,-0.506,0.666,1.081,-0.448,1.039,0.184,0.883,-0.142,-0.609,0.038,0.307,0.72,1.423,-0.176,0.094,0.571,-1.312,0.61,0.737,0.435,-0.059,0.022,-0.226,-0.986,-0.066,0.26,0.151,-0.043,40.0,0
123.0,0.969,-0.502,-1.334,0.389,2.036,3.662,-0.237,0.81,0.155,-0.089,-0.54,0.242,-0.196,0.226,-0.132,-0.081,-0.506,-0.045,0.315,0.272,-0.091,-0.561,-0.261,1.018,0.837,-0.343,-0.003,0.039,160.86,0
124.0,-0.615,0.975,1.689,-0.17,-0.152,-0.698,0.727,-0.068,-0.127,0.413,1.364,-0.099,-1.473,0.342,0.328,0.298,-0.606,0.2,0.21,0.212,-0.262,-0.55,-0.007,0.475,-0.269,0.022,0.199,-0.055,8.93,0
124.0,1.105,0.542,0.839,2.571,-0.28,-0.423,0.088,0.012,-0.716,0.651,0.074,-0.142,-0.739,0.503,0.737,0.257,-0.094,-1.011,-1.465,-0.24,-0.137,-0.461,0.189,0.556,0.186,-0.189,0.0,0.026,6.24,0
124.0,-1.711,-1.367,2.217,0.405,-0.114,-0.076,-0.26,0.321,-0.175,-0.479,0.76,0.475,0.123,-0.12,0.49,0.181,-0.199,0.916,1.506,0.986,0.391,0.481,0.406,0.066,0.157,1.286,-0.094,0.099,230.0,0
125.0,-2.807,1.183,2.975,2.801,-0.475,3.218,-0.402,0.384,2.409,3.351,0.107,0.367,-0.15,-2.45,0.182,-2.372,1.614,-2.013,-0.572,0.829,-0.202,1.462,-0.0,-0.581,-0.102,0.529,0.362,0.238,43.71,0
125.0,0.854,-0.527,0.824,1.235,-0.642,0.529,-0.398,0.157,0.706,-0.27,-0.823,0.586,0.758,-0.337,0.866,0.089,-0.337,-0.115,-0.657,0.214,0.223,0.526,-0.271,-0.385,0.467,-0.216,0.059,0.056,165.55,0
125.0,-0.725,0.073,1.74,0.759,0.23,2.422,0.197,0.861,0.099,-0.73,1.327,1.005,-0.988,-0.091,-0.711,-1.636,1.15,-1.61,-1.045,-0.044,0.189,0.739,0.146,-1.032,-0.088,-0.221,0.108,0.012,113.0,0
127.0,1.356,-0.221,-1.237,-1.247,1.908,3.104,-0.603,0.763,0.118,-0.13,0.009,0.041,0.063,0.375,1.323,0.582,-0.804,-0.054,0.444,0.053,-0.164,-0.603,0.011,1.064,0.401,0.976,-0.081,-0.003,1.54,0
128.0,-0.55,0.908,1.598,1.299,0.588,0.032,0.754,-0.307,-0.269,0.139,-0.333,0.687,0.983,-0.457,0.134,-1.368,0.446,-0.868,0.765,0.022,-0.011,0.418,-0.265,0.13,-0.228,-0.305,-0.191,-0.087,10.0,0
128.0,1.239,-0.183,0.155,-0.929,-0.746,-1.236,-0.062,-0.125,0.985,-0.747,1.563,0.89,-0.985,0.779,1.017,-0.429,-0.336,0.615,0.703,-0.16,0.146,0.481,-0.14,0.538,0.711,-0.621,0.037,0.011,8.8,0
130.0,-0.485,0.658,1.95,1.25,0.426,0.232,0.585,0.029,-0.52,0.056,1.265,0.521,-0.83,0.157,-0.365,-1.142,0.41,-0.205,1.01,0.089,0.007,0.328,-0.233,0.226,0.026,-0.247,-0.025,-0.119,5.97,0
130.0,1.353,-0.695,0.971,-0.427,-1.417,-0.506,-0.932,-0.084,-0.224,0.447,-0.54,0.072,1.007,-0.905,-0.304,0.803,0.483,-1.345,0.649,0.126,0.284,0.993,-0.165,0.474,0.624,-0.007,0.046,0.022,15.93,0
131.0,-1.007,1.262,1.207,1.308,0.153,0.062,0.509,0.079,-0.395,-0.006,-0.468,0.828,1.047,-0.185,0.109,-1.253,0.606,-0.831,0.773,-0.104,0.039,0.412,-0.08,0.121,-0.133,-0.303,-0.464,-0.164,10.0,0
132.0,-0.395,1.054,1.206,-0.289,0.61,0.082,0.688,0.065,-0.502,-0.387,-0.749,0.317,1.209,-0.089,1.046,0.102,-0.48,-0.656,-0.036,0.161,-0.243,-0.548,-0.107,-0.757,-0.119,0.149,0.287,0.111,3.87,0
132.0,-1.571,1.688,0.735,1.293,-0.218,-0.003,0.147,0.515,-0.372,0.078,-0.592,0.998,1.109,0.06,0.086,-1.15,0.765,-0.811,0.738,-0.094,0.049,0.377,-0.03,0.118,-0.061,-0.297,-0.482,-0.168,10.0,0
133.0,0.709,-0.012,-0.53,0.236,1.612,4.092,-0.862,1.084,0.787,0.113,-0.653,0.173,0.038,-0.388,0.375,0.21,-0.645,0.555,0.622,-0.042,0.007,0.09,0.272,0.987,-0.81,-0.53,-0.066,-0.125,35.97,0
135.0,1.102,-0.119,1.139,1.845,-0.818,0.248,-0.684,0.283,0.287,0.441,-0.826,-0.769,-1.541,0.048,0.568,0.524,-0.044,-0.426,-1.101,-0.201,0.12,0.371,-0.016,0.114,0.152,1.126,-0.039,0.012,22.37,0
135.0,1.207,0.241,0.259,0.653,-0.256,-0.62,-0.04,-0.022,0.145,-0.305,0.024,-0.09,-0.564,-0.105,1.431,0.223,0.317,-0.653,-0.552,-0.156,-0.267,-0.78,0.166,0.013,0.116,0.126,-0.012,0.026,4.57,0
